,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
87,wewak,PG,-3.55,143.63,1587947226,28.49,76,100,1.38
88,san patricio,MX,19.22,-104.7,1587947226,30.0,74,5,1.69
89,mangai,CD,-4.05,19.53,1587947227,21.28,87,97,0.83
90,san policarpo,PH,12.18,125.51,1587947227,27.59,84,94,5.85
91,banyo,CM,6.75,11.82,1587947227,20.04,64,95,0.59
92,mamallapuram,IN,12.63,80.17,1587947228,28.33,94,40,2.1
93,huilong,CN,31.81,121.66,1587947228,17.22,68,0,1.34
94,thompson,CA,55.74,-97.86,1587947228,7.0,87,90,3.1
95,lagoa,PT,39.05,-27.98,1587946987,14.0,64,98,4.4
96,westport,US,41.14,-73.36,1587947229,7.22,87,90,8.2
97,orange cove,US,36.62,-119.31,1587947229,32.0,19,1,4.1
98,gat,IL,31.61,34.76,1587947230,14.44,76,16,0.83
99,yerbogachen,RU,61.28,108.01,1587947230,4.01,65,63,3.79
100,burnie,AU,-41.07,145.92,1587947231,15.56,72,44,4.47
101,whitehorse,CA,60.72,-135.05,1587947186,8.0,39,75,6.2
102,havoysund,NO,71.0,24.66,1587947233,-1.0,86,75,10.8
103,ushumun,RU,52.78,126.53,1587947233,8.4,43,99,0.79
104,vilhena,BR,-12.74,-60.15,1587946992,24.0,94,20,2.1
105,point pedro,LK,9.82,80.23,1587947233,28.58,80,88,4.74
106,borba,BR,-4.39,-59.59,1587947234,25.01,88,59,0.46
107,neryungri,RU,56.67,124.65,1587947234,1.08,63,100,8.54
108,barrow,US,71.29,-156.79,1587947050,-9.0,78,90,7.7
109,victoria,HK,22.29,114.16,1587947210,24.0,69,20,1.5
110,qaanaaq,GL,77.48,-69.36,1587947235,2.51,79,100,6.24
111,cherskiy,RU,68.75,161.3,1587947235,-0.91,97,83,7.25
112,klaksvik,FO,62.23,-6.59,1587947236,4.0,60,98,3.6
113,magalia,US,39.81,-121.58,1587947236,31.0,20,20,4.6
114,inirida,CO,3.87,-67.92,1587947236,25.25,87,80,0.75
115,isangel,VU,-19.55,169.27,1587947237,28.0,61,75,4.1
116,pangkalanbuun,ID,-2.68,111.62,1587947237,25.97,88,91,1.71
117,narsaq,GL,60.92,-46.05,1587947237,8.0,24,36,19.5
118,ribeira grande,PT,38.52,-28.7,1587947237,13.98,63,100,2.51
119,millau,FR,44.08,2.92,1587947238,12.22,93,72,2.1
120,sumbe,AO,-11.21,13.84,1587947238,24.33,85,59,2.2
121,tual,ID,-5.67,132.75,1587947239,28.81,77,81,7.33
122,roald,NO,62.58,6.13,1587947239,5.56,80,3,8.2
123,pangnirtung,CA,66.15,-65.71,1587947239,-5.22,95,67,1.53
124,sao joao da barra,BR,-21.64,-41.05,1587946958,22.85,75,1,3.03
125,zhoucheng,CN,35.91,116.31,1587947240,13.93,41,66,3.92
126,adrar,MR,20.5,-10.07,1587947240,26.85,14,0,4.59
127,cururupu,BR,-1.83,-44.87,1587947241,25.14,87,97,1.65
128,kapan,AM,39.21,46.41,1587947242,9.69,57,61,1.17
129,fonte boa,BR,-2.5,-66.27,1587947242,24.63,89,59,0.29
130,cortez,US,37.35,-108.59,1587947242,24.0,14,1,6.7
131,changping,CN,40.22,116.22,1587947243,15.56,44,0,2.0
132,galiakot,IN,23.52,74.0,1587947243,29.01,32,56,3.46
133,castro,BR,-24.79,-50.01,1587947243,16.59,50,3,1.83
134,niimi,JP,34.98,133.47,1587947243,14.0,54,40,1.5
135,teya,RU,60.38,92.63,1587947244,6.56,58,95,2.96
136,ruteng,ID,-8.61,120.47,1587947244,19.65,66,96,0.97
137,ler,SS,8.3,30.14,1587947244,29.28,35,79,1.65
138,bima,ID,-8.47,118.72,1587947244,27.05,77,91,1.56
139,faanui,PF,-16.48,-151.75,1587947244,28.49,71,4,6.91
140,rockland,US,41.17,-74.05,1587947245,7.22,94,99,0.45
141,mahebourg,MU,-20.41,57.7,1587947245,24.0,94,20,1.5
142,bumba,CD,2.18,22.47,1587947045,21.56,88,100,2.42
143,kavieng,PG,-2.57,150.8,1587947245,28.84,77,70,5.65
144,takoradi,GH,4.88,-1.76,1587947246,26.36,82,86,3.26
145,capelinha,BR,-17.69,-42.52,1587947246,14.72,77,3,1.06
146,lakkion,GR,37.13,26.85,1587947246,14.0,87,20,1.91
147,letpadan,MM,17.78,95.75,1587947247,25.17,67,63,2.13
148,shache,CN,38.42,77.24,1587947247,17.5,18,69,0.94
149,sinnamary,GF,5.38,-52.95,1587947247,26.05,84,100,6.53
150,clyde river,CA,70.47,-68.59,1587947247,-5.0,79,90,5.7
151,macklin,CA,52.33,-109.93,1587947247,12.22,31,77,8.0
152,saint-denis,FR,48.92,2.33,1587947248,13.33,66,38,1.5
153,ponta do sol,PT,32.67,-17.1,1587947248,16.0,87,20,2.6
154,chokurdakh,RU,70.63,147.92,1587947248,-1.23,98,98,5.76
155,radovitskiy,RU,55.13,39.8,1587947248,2.78,76,69,1.25
156,okhotsk,RU,59.38,143.3,1587947249,3.13,74,0,2.44
157,mount isa,AU,-20.73,139.5,1587947249,29.0,26,0,6.2
158,jurmala,LV,56.97,23.77,1587947249,4.0,80,40,2.1
159,mizan teferi,ET,6.98,35.58,1587947249,19.4,48,100,2.3
160,lunenburg,CA,44.38,-64.32,1587947249,7.22,73,100,0.45
161,taltal,CL,-25.4,-70.48,1587947250,18.06,71,7,1.39
162,henties bay,NA,-22.12,14.28,1587947250,14.44,95,7,1.43
163,leshukonskoye,RU,64.9,45.76,1587947250,-3.44,98,75,0.71
164,tura,IN,25.52,90.22,1587947250,20.47,74,89,0.71
165,khandyga,RU,62.67,135.6,1587947250,2.94,75,81,3.02
166,lucapa,AO,-8.42,20.74,1587947251,19.3,63,35,1.06
167,cabedelo,BR,-6.98,-34.83,1587947006,26.0,94,100,1.5
168,boende,CD,-0.22,20.87,1587947251,21.56,88,92,1.52
169,bengkulu,ID,-3.8,102.27,1587947251,25.2,84,100,2.51
170,dunedin,NZ,-45.87,170.5,1587947251,13.89,80,92,3.55
171,grindavik,IS,63.84,-22.43,1587947009,5.0,86,20,0.5
172,atasu,KZ,48.68,71.64,1587947252,13.11,69,74,4.3
173,nizwa,OM,22.93,57.53,1587947252,26.53,22,0,0.37
174,kommunisticheskiy,RU,61.68,64.48,1587947252,2.9,89,100,2.1
175,mount gambier,AU,-37.83,140.77,1587947252,13.0,76,96,3.1
176,inhambane,MZ,-23.86,35.38,1587947252,21.69,76,5,5.08
177,vanderhoof,CA,54.02,-124.02,1587947107,9.73,40,100,3.41
178,apac,UG,1.98,32.54,1587947253,18.91,70,87,1.77
179,uyuni,BO,-20.46,-66.83,1587947253,11.33,14,10,0.71
180,pevek,RU,69.7,170.31,1587947253,-7.0,94,85,5.46
181,walvis bay,NA,-22.96,14.51,1587947253,14.44,100,1,2.6
182,florida,US,28.75,-82.5,1587947254,22.22,53,1,2.6
183,kurkino,RU,53.43,38.66,1587947254,4.08,80,100,4.18
184,rochester,US,43.15,-77.62,1587947001,5.56,86,90,6.2
185,luderitz,NA,-26.65,15.16,1587947254,15.0,93,0,6.2
186,hami,CN,42.8,93.45,1587947254,19.66,13,0,3.24
187,torbay,CA,47.67,-52.73,1587947255,3.33,55,20,5.7
188,tiksi,RU,71.69,128.87,1587947045,-5.27,95,86,9.62
189,pisco,PE,-13.7,-76.22,1587946992,20.56,77,1,9.3
190,birnin kebbi,NG,12.45,4.2,1587947097,32.94,39,82,5.87
191,nicoya,CR,10.15,-85.45,1587947255,32.0,43,94,8.2
192,severo-kurilsk,RU,50.68,156.12,1587947255,0.66,94,100,5.52
193,kaitangata,NZ,-46.28,169.85,1587947256,12.78,69,99,3.13
194,kruisfontein,ZA,-34.0,24.73,1587947256,16.66,79,97,8.44
195,dire dawa,ET,9.59,41.87,1587947256,21.68,51,89,3.62
196,saskylakh,RU,71.92,114.08,1587947256,-7.76,95,99,5.14
197,balgazyn,RU,51.0,95.2,1587947257,12.34,39,89,0.45
198,alofi,NU,-19.06,-169.92,1587947257,30.0,70,37,4.1
199,borogontsy,RU,62.67,131.17,1587947257,1.33,93,100,2.26
200,port elizabeth,ZA,-33.92,25.57,1587947099,18.0,82,20,11.8
201,ciudad bolivar,VE,8.12,-63.55,1587947257,30.47,52,100,5.85
202,oliveira,BR,-20.7,-44.83,1587947128,15.97,66,14,1.51
203,whakatane,NZ,-37.96,176.99,1587947258,19.44,70,12,0.89
204,esperance,AU,-33.87,121.9,1587947258,14.0,76,17,5.7
205,east london,ZA,-33.02,27.91,1587947155,18.62,75,74,2.55
206,naze,JP,28.37,129.48,1587947258,20.0,72,75,1.0
207,ziro,IN,27.63,93.83,1587947259,10.19,53,96,1.4
208,bambous virieux,MU,-20.34,57.76,1587947259,24.0,94,20,1.5
209,fairbanks,US,64.84,-147.72,1587947259,7.78,24,1,2.1
210,domna,RU,51.9,113.16,1587947259,8.0,36,20,3.0
211,taunggyi,MM,20.78,97.03,1587947259,15.77,61,60,0.5
212,leningradskiy,RU,69.38,178.42,1587947259,-6.56,92,8,1.54
213,labuhan,ID,-6.88,112.21,1587947260,26.72,82,88,2.63
214,baherden,TM,38.44,57.43,1587947260,21.03,53,100,4.4
215,villa bruzual,VE,9.33,-69.12,1587947260,29.07,46,4,1.74
216,komsomolskiy,UZ,40.43,71.72,1587947260,17.0,55,3,1.0
217,vardo,NO,70.37,31.11,1587947260,0.9,88,94,7.42
218,norsup,VU,-16.07,167.38,1587947261,25.0,94,90,5.51
219,cap malheureux,MU,-19.98,57.61,1587946973,23.33,91,0,2.84
220,mogadishu,SO,2.04,45.34,1587947261,27.95,79,75,4.17
221,falmouth,GB,50.15,-5.07,1587947261,11.11,93,52,1.0
222,dehloran,IR,32.69,47.27,1587947261,19.82,36,1,2.37
223,foz do iguacu,BR,-25.55,-54.59,1587947261,26.0,78,22,2.6
224,kropotkin,RU,45.44,40.58,1587947262,9.54,68,71,7.04
225,buston,TJ,40.52,69.33,1587947262,20.0,60,0,5.0
226,celestun,MX,20.87,-90.4,1587947262,27.92,78,68,7.45
227,lompoc,US,34.64,-120.46,1587947262,25.56,68,1,7.7
228,liverpool,GB,53.41,-2.98,1587947263,10.0,71,91,3.6
229,yar-sale,RU,66.83,70.83,1587947263,-3.19,98,98,4.49
230,north bend,US,43.41,-124.22,1587947263,16.11,71,1,5.1
231,meulaboh,ID,4.14,96.13,1587947263,26.24,83,100,2.36
232,piacabucu,BR,-10.41,-36.43,1587947263,25.42,87,76,3.37
233,divnogorsk,RU,55.96,92.36,1587947264,3.0,74,100,0.64
234,dicabisagan,PH,17.08,122.42,1587947264,27.81,75,95,0.81
235,mackay,AU,-21.15,149.2,1587947264,26.0,65,26,7.2
236,maceio,BR,-9.67,-35.74,1587947102,24.0,100,75,1.0
237,teguldet,RU,57.31,88.17,1587947265,6.79,61,0,1.42
238,kongolo,CD,-5.38,27.0,1587947265,21.59,79,60,1.12
239,hamilton,US,39.18,-84.53,1587947265,12.22,66,1,3.1
240,staryy nadym,RU,65.61,72.68,1587947266,-1.63,99,100,3.95
241,yulara,AU,-25.24,130.99,1587947266,22.0,56,60,8.2
242,huarmey,PE,-10.07,-78.15,1587947266,22.08,76,15,3.24
